"Taxon"	"NCBI_taxid"	"Synonyms"	"Taxonomic.level"	"Ecology"	"Diet_varies_by_lifestage"	"Other information"	"References"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Otiorhynchus;s__Otiorhynchus ovatus"	202098		"Species"	"Herbivores"	"No"	"Feeds on strawberry root"	"Fisher, J. R., 2006. Fecundity, longevity and establishment of Otiorhynchus sulcatus (Fabricius) and Otiorhynchus ovatus (Linnaeus) (Coleoptera: Curculionidae) from the Pacific North‐west of the United States of America on selected host plants. Agricultural and Forest Entomology 8(4), 281–287. https://doi.org/10.1111/j.1461-9563.2006.00309.x"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Otiorhynchus;s__Otiorhynchus porcatus"	202099		"Species"	"Herbivores"	"No"	"Associated with garden ornamentals (especially Primula and Saxifraga)"	"Read, R.W.J., 1984. Second record of Otiorhynchus porcatus (Herbst) (Col., Curculionidae) from West Cumbria. Entomologist's monthly magazine 120, 53."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Sciaphilus;s__Sciaphilus asperatus"	202184	"Curculio asperatus"	"Species"	"Herbivores"	"No"	"Feeds primarily on Acer saccharum, Betula spp and Rubus sp"	"Gültekin, N., Davidian, G. E., Gültekin, L., Korotyaev, B.A., 2019. Sciaphilus asperatus (Bonsdorff, 1785) (Coleoptera: Curculionidae): First Record for Turkey and Data on its General Distribution. The Coleopterists Bulletin 73(1), 225-232. https://doi.org/10.1649/0010-065x-73.1.225"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Sitona;s__Sitona lineatus"	202195	"Curculio lineatus"	"Species"	"Herbivores"	"No"	"Feeds on foliage of several Fabaceae species"	"Carcamo, H.A., Herle, C.E., Lupwayi, N.Z., 2015. Sitona lineatus (Coleoptera: Curculionidae) larval feeding on Pisum sativum L. affects soil and plant nitrogen. Journal of Insect Science 15(1), 74–74. https://doi.org/10.1093/jisesa/iev055"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Strophosoma;s__Strophosoma capitatum"	202214		"Species"	"Herbivores"	"No"		"Nielsen, C., Eilenberg, J., Harding, S., Vestergaard, S., 2004. Biological control of weevils (Strophosoma melanogrammum and S. capitatum) in greenery plantations in Denmark. Bekaempelsesmiddelforskning fra Miljoestyrelsen 91. http://www2.mst.dk/udgiv/publications/2004/87-7614-431-3/pdf/87-7614-432-1.pdf"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Strophosoma;s__Strophosoma melanogrammum"	202215		"Species"	"Herbivores"	"No"		"Nielsen, C., Eilenberg, J., Harding, S., Vestergaard, S., 2004. Biological control of weevils (Strophosoma melanogrammum and S. capitatum) in greenery plantations in Denmark. Bekaempelsesmiddelforskning fra Miljoestyrelsen 91. http://www2.mst.dk/udgiv/publications/2004/87-7614-431-3/pdf/87-7614-432-1.pdf"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Heteroderidae;g__Heterodera;s__Heterodera elachista"	204065		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;g__Pentodon;s__Pentodon algerinum"	207357	"Scarabaeus algerinum"	"Species"	"Herbivores"	"No"	"Polyphagous and considered basic pests of different crops, turfgrasses, nurseries, and ornamentals worldwide "	"Abd El-Salam, A.M.E., 2019. Field evaluation of some eco-friendly formulations against strawberry white grubs in Egypt. Specialty journal of biological sciences 5(2), 1-6."
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Longidoridae;g__Xiphinema;s__Xiphinema americanum"	208518		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Orthoptera;f__Gryllotalpidae;g__Gryllotalpa"	208679		"Genus"	"Omnivores"	"No"		"Capinera, J.L., 2008. Encyclopedia of Entomology, second ed. Springer, Berlin. https://doi.org/10.1007/978-1-4020-6359-6"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Orthoptera;f__Gryllotalpidae;g__Neocurtilla"	208708		"NA"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Allantonematidae;g__Howardula"	209929		"Genus"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Psocodea;f__Psyllipsocidae;g__Dorypteryx;s__Dorypteryx domestica"	209979	"Dolopteryx domestica"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Psocoptera;f__Psyllipsocidae;g__Dorypteryx;s__Dorypteryx domestica"	209979	"Dolopteryx domestica"	"Species"	"Detritivores"	"No"		"Kučerová, Z., Jokeš, M., 2008. External morphology of eggs of the synanthrophic psocid Dorypteryx domestica (Psocoptera, Psyllipsocidae). Deutsche Entomologische Zeitschrift 49(1), 165–169. https://doi.org/10.1002/mmnd.20020490113"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Psocoptera;f__Trogiidae;g__Lepinotus"	209980		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Psocodea;f__Trogiidae;g__Lepinotus;s__Lepinotus reticulatus"	209981		"Species"	"Herbivores"	"No"		"Opit, G.P., Throne, J.E., 2008. Effects of Diet on Population Growth of the Psocids Lepinotus reticulatus and Liposcelis entomophila. Journal of Economic Entomology 101(2), 616–622. https://doi.org/10.1093/jee/101.2.616"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Merliniidae;g__Merlinius"	211155		"Genus"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Hoplolaimidae;g__Rotylenchulus"	211163		"Genus"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Criconematidae;g__Mesocriconema"	211170	"Macroposthonia"	"Genus"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Criconematidae;g__Mesocriconema;s__Mesocriconema xenoplax"	211171	"Criconemella xenoplax;Criconemoides xenoplax;Macroposthonia xenoplax"	"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Tylenchidae;g__Tylenchus"	211181		"Genus"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida"	211184		"NA"	"NA"	"NA"	"Different feeding habits within the order"	
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Diphtherophoridae"	211189		"NA"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Diphterophoridae;g__Diphtherophora"	211190		"Genus"	"Fungivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Odontolaimidae;g__Odontolaimus"	211196		"Genus"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Tripylidae;g__Tripyla"	211201		"Genus"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Enoplida;f__Ironidae;g__Ironus"	211205		"Genus"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Enoplida;f__Alaimidae;g__Alaimus"	211208		"Genus"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Enoplida;f__Alaimidae;g__Alaimus;s__Alaimus parvus"	211210		"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Enoplida;f__Campydoridae;g__Campydora;s__Campydora demonstrans"	211217		"Species"	"Omnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Belondiridae;g__Dorylaimellus;s__Dorylaimellus virginianus"	211243		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Dorylaimidae;g__Mesodorylaimus"	211267		"Genus"	"Omnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Aporcelaimidae;g__Aporcelaimellus"	211278		"Genus"	"Omnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Qudsianematinae;g__Ecumenicus"	211288		"Genus"	"Omnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Nordiidae;g__Enchodelus"	211317		"Genus"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Qudsianematidae;g__Microdorylaimus"	211326		"Genus"	"Omnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Qudsianematidae;g__Eudorylaimus;s__Eudorylaimus carteri"	211337	"Dorylaimus carteri"	"Species"	"Omnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Nordiidae;g__Pungentus"	211343		"Genus"	"Omnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Nygolaimidae;g__Aquatides"	211358		"Genus"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Nygolaimidae;g__Aquatides;s__Aquatides christei"	211359		"Species"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Nygolaimidae;g__Solididens;s__Solididens vulgaris"	211365	"Nygolaimus vulgaris"	"Species"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Nygolaimidae;g__Paravulvus;s__Paravulvus hartingii"	211367	"Dorylaimus hartingii"	"Species"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Leptonchidae;g__Leptonchus;s__Leptonchus granulosus"	211371		"Species"	"Fungivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Tylencholaimidae;g__Tylencholaimus"	211372		"Genus"	"Fungivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Mononchida;f__Mononchidae;g__Clarkus"	211395		"Genus"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Mononchida;f__Mononchidae;g__Clarkus;s__Clarkus papillatus"	211396	"Mononchus papillatus"	"Species"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Teratocephalidae;g__Teratocephalus;s__Teratocephalus terrestris"	211410	"Anguillula terrestris"	"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Telotylenchidae;g__Trophurus"	211412		"Genus"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Noctua;s__Noctua pronuba"	214277	"Phalaena pronuba"	"Species"	"Herbivores"	"No"		"Difonzo, C., Russell, H., 2010. Noctua pronuba (Lepidoptera: Noctuidae): An Outbreak in Emails. Journal of Integrated Pest Management 1(1), B1–B6. https://doi.org/10.1603/ipm10005"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Galeruca"	217233		"Genus"	"Herbivores"	"No"		"Viswajyothi, K., Clark, S.M., 2022. New World genera of Galerucinae Latreille, 1802 (tribes Galerucini Latreille, 1802, Metacyclini Chapuis, 1875, and Luperini Gistel, 1848): an annotated list and identification key (Coleoptera: Chrysomelidae). European Journal of Taxonomy 842(1), 1-102. https://doi.org/10.5852/ejt.2022.842.1945"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Silphidae;g__Necrophila;s__Necrophila americana"	219407		"Species"	"Detritivores"	"No"		"Chow, A., Huval, F., Reagan, T.E., Carlton, C., 2021. Necrophila americana, American Carrion Beetle. BUG BIZ, pest management and insect identification series, LSU AgCenter. Available at: https://www.lsuagcenter.com/~/media/system/0/e/2/8/0e284dd929f856d336fa1b018303acfc/p3787_bugbizamericancarrionbeetlenew_rch0421_fhuvalpdf.pdf"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Melandryidae"	219420		"Family"	"NA"	"NA"	"Different feeding habits within the family"	
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Acaridae;g__Sancassania"	221163	"Caloglyphus"	"NA"	"NA"	"NA"	"Different feeding habits within the genus"	
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Otiorhynchus;s__Otiorhynchus scaber"	221505		"Species"	"Herbivores"	"No"		"Löf, M., Isacsson, G., Rydberg, D., Welander, T.N., 2004. Herbivory by the pine weevil (Hylobius abietis L.) and short-snouted weevils (Strophosoma melanogrammum Forst. and Otiorhynchus scaber L.) during the conversion of a wind-thrown Norway spruce forest into a mixed-species plantation. Forest Ecology and Management 190(2–3), 281–290. https://doi.org/10.1016/j.foreco.2003.10.027"
"k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Sphaerodoridae"	222060		"Family"	"Detritivores"	"No"		"Fauchald, K., Jumars, P.A., 1979. The diets of worms: A study of Polychaete feeding guilds. Oceanography and Marine Biology Annual Review 17, 193–284. https://doi.org/10.5179/benthos1970.1981.65"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Pratylenchidae;g__Pratylenchus;s__Pratylenchus neglectus"	222096	"Aphelenchus neglectus"	"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Pratylenchidae;g__Pratylenchus;s__Pratylenchus mediterraneus"	223368		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Carpoglyphidae;g__Carpoglyphus;s__Carpoglyphus lactis"	223459	"Acarus lactis"	"Species"	"Detritivores"	"No"	"Stored product mite infesting saccharide-rich stored commodities including dried fruits, wine, beer, milk products, jams and honey."	"Hubert, J., Nesvorná, M., Kopecký, J., Ságová-Marečková, M., Poltronieri, P., 2014. Carpoglyphus lactis (Acari: Astigmata) from various dried fruits differed in associated micro-organisms. Journal of Applied Microbiology 118(2), 470–484. https://doi.org/10.1111/jam.12714"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Acaridae;g__Cosmoglyphus"	223504		"Genus"	"Fungivores"	"No"		"Pal, S., Negi, V., Bisht, R., Juyal, D., 2018. Bite of a mite: A case of human otoacariasis caused by Cosmoglyphus species (Acari: Acaridae). Journal of Clinical and Diagnostic Research 12(3), DD03-DD05."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Phyllotreta;s__Phyllotreta cruciferae"	224133	"Chrysomela cruciferae"	"Species"	"Herbivores"	"No"		"Palaniswamy, P., Lamb, R. J., 1992. Host Preferences of the Flea Beetles Phyllotreta cruciferae and P. striolata (Coleoptera: Chrysomelidae) for Crucifer Seedlings. Journal of Economic Entomology 85(3), 743–752. https://doi.org/10.1093/jee/85.3.743"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Panagrolaimidae;g__Panagrolaimus;s__Panagrolaimus davidi"	227884		"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Polleniidae;g__Pollenia;s__Pollenia rudis"	229640		"Species"	"Omnivores"	"Yes"	"Larvae are internal parasites or predators of earthworms, adults feed on sap, flowers, fruit, faeces and decaying organic matter"	"Richards, P.G., 1972. Biology of the cluster fly, Pollenia rudis (Fabricius) (Diptera: Calliphoridae). McGill University, Thesis, 110 pp. http://digitool.Library.McGill.CA:80/R/?func=dbin-jump-full&object_id=48240."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Steganacaridae;g__Atropacarus;s__Atropacarus striculus"	229743		"Species"	"Detritivores"	"No"	"Feeds on wood"	"Skubała, P., Sokołowska, M., 2006. Oribatid fauna (Acari, Oribatida) in fallen spruce trees in the Babia Góra National Park. Biological Letters 43(2), 243-248."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Euphthiracaridae;g__Rhysotritia;s__Rhysotritia duplicata"	229749		"Species"	"Detritivores"	"No"		"Pande, Y.D., Berthet, P., 1973. Studies on the food and feeding habits of soil oribatei in a black pine plantation. Oecologia 12(4), 413–426. https://doi.org/10.1007/bf00345051"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Parhypochthoniidae;g__Parhypochthonius;s__Parhypochthonius aphidinus"	229753		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Eulohmanniidae;g__Eulohmannia;s__Eulohmannia ribagai"	229757	"Lohmannia ribagai"	"Species"	"Microbivores"	"No"	"Gut conten: brown fragments of plant structural material, with discrete structures — e.g., fungal hyphae and possible bryophyte spores "	"Norton, R.A., Ermilov, S.G., 2022. Paedomorphosis and sexuality in Eulohmanniidae (Acari, Oribatida): surprising diversity in a relictual family of oribatid mites. Acarologia 62(4), 989–1069. https://doi.org/10.24349/p0b0-usvs"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Eniochthoniidae;g__Eniochthonius;s__Eniochthonius minutissimus"	229763		"Species"	"Fungivores"	"No"		"Doblas-Miranda, E., Work, T., 2015. Localized Effects of Coarse Woody Material on Soil Oribatid Communities Diminish over 700 Years of Stand Development in Black-Spruce-Feathermoss Forests. Forests 6(4), 914–928. https://doi.org/10.3390/f6040914"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Achipteriidae;g__Achipteria;s__Achipteria coleoptrata"	229769	"Acarus coleoptratus"	"Species"	"Microbivores"	"No"		"Sánchez-Chávez, D.I., Rodríguez-Zaragoza, S., Velez, P., Cabirol, N., Ojeda, M., 2023. Fungal feeding preferences and molecular gut content analysis of two abundant oribatid mite species (Acari: Oribatida) under the canopy of Prosopis laevigata (Fabaceae) in a semi-arid land. Experimental and Applied Acarology 89(3–4), 417–432. https://doi.org/10.1007/s10493-023-00790-7"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Galumnidae"	229772		"Family"	"Carnivores"	"No"		"Glime, J.M., 2017. Arthropods: Mites (Acari). In: Glime, J.M. (Ed.), Bryophyte Ecology 2(9), Michigan Technological University, Houghton, pp. 2-30."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Damaeidae;g__Metabelba"	229776		"Genus"	"Fungivores"	"No"		"Smrž, J., 2010. Nutritional biology of oribatid mites from different microhabitats in the forest. In: Sabelis, M., Bruin, J. (Eds.), Trends in Acarology. Springer, Dordrecht, pp. 213–216. https://doi.org/10.1007/978-90-481-9837-5_34"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Carabodidae;g__Carabodes;s__Carabodes coriaceus"	229789		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Carabodidae;g__Carabodes;s__Carabodes labyrinthicus"	229791		"Species"	"Herbivores"	"No"	"Feeds on lichens"	"Hågvar, S., Amundsen, T., Økland, B., 2014. Mites of the genus Carabodes (Acari, Oribatida) in Norwegian coniferous forests: occurrence in different soils, vegetation types and polypore hosts. Scandinavian Journal of Forest Research 29(7), 629–638. https://doi.org/10.1080/02827581.2014.965195"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Oppiidae"	229795		"Family"	"Fungivores"	"No"	"Feed on mycorrhizal fungi"	"Zuev, A.G., Krivosheina, M.G., Leonov, V.D., Öpik, M., Vasar, M., Saraeva, A.K., Tiunov, A.V., Goncharov, A.A., 2023. Mycorrhiza-feeding soil invertebrates in two coniferous forests traced with 13C labelling. Mycorrhiza 33(1–2), 59–68. https://doi.org/10.1007/s00572-023-01102-y"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Xenillidae"	229807		"Family"	"Herbivores"	"No"		"Alonso, A., Garrido, J., 2009. Arthropods in shag (Phalacrocorax aristotelis) nests from the National Park of the Atlantic Islands (NW Spain): occurrence and abundance at different breeding phases. Vie et Milieu/Life & Environment, 59–68."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Damaeidae;g__Damaeus"	229826		"Genus"	"Microbivores"	"No"	"Feed on microalgae and moulds"	"http://taxondiversity.fieldofscience.com/2015/10/damaeus-damaeus.html"
